,Positive,Neutral,Negative
0," On the positive side, again, we're seeing real estate demand going up, interest rates continue to be low","  As   a   remainder,   all participant lines will be in the listen-only mode"," But then suddenly, we had the lockdown again, in May, and almost part of June almost half the quarter, if not more had, again kind of was a result of shutdown due to which volumes got affected in the total industry"
1," But again, on the positive side, we believe that the Axle Load Norms, the additional capacity that was created, possibly has come off now and we could see fresh demand", And there will be an opportunity for you to ask questions after the presentation concludes,"   Pricing   continues   to   be   a   challenge,   because   you   know,   the   industry unfortunately seems to be using pricing as a method of acquiring customers"
2,"  The second bit is on the Light Commercial Vehicle front, if you look at the LCV markets, they have been pretty stable, and our market share has actually grown about 20%"," Should you need assistance during the conference call, please signal an operator by pressing '*' then '0' on your touchtone phone"," I've been mentioning that over the last few quarters, unfortunately, the volumes are very low"
3," But we, at the moment, believe that with the vaccinations going on and the familiarity that we as a country have on the lockdown and the opening up, we believe that we should be able to cope much better", Please note that this conference is being recorded," At the same time, what we have been doing is to ensure that we don't pump the dealerships with inventory; there was some amount of inventory that happened in the month of May, because suddenly, things are closed down, right"
4," So, LCV business has been doing well it has been growing, it has contributed to the bottom line", I now hand the conference over to Mr," So, practically if you look at it schools were shut, most of the offices were shut so and state transport undertakings are only predominantly operating within the city"
5," Similarly, aftermarket and parts, defense, as well as power solutions business have actually kind of helped to bring in revenues and also improve the margins because these are much higher margins than the traditional M&HCV business", Jinesh Gandhi from Motilal Oswal Financial Services Limited,"  Non-truck roughly 30%, 35% Hitesh"
6," As the export market start to grow, or open up, we believe that we will see a growth in exports as well", Thank you and over to you sir,
7," So, I think we are quite positive that if the COVID scenario were to come off, we could see quite a bit of growth happening", would like to welcome you all to 1Q FY22 Post-Results Conference Call of Ashok Leyland,
8, We are expecting that in the second half steel prices should go up, Ashok Leyland is represented by Mr,
9, But I think our team has been managing pretty well, Gopal Mahadevan – Whole time Director and CFO and Mr,
10," Overall, we have also been keeping our costs very tight, as has been the practice", K,
11, And things look to be easing out, M,
12," But on the positive side, we have seen that in the month of April, when things were opened up, we did see a sudden spurt   in   demand", Balaji – Vice President (Corporate Finance),
13," We have taken price increases both in the 4 th Quarter and in the 1st Quarter, I think approximately of about 2% each", We will start the session with the opening comments from the management following the Q&A,
14," Even in the second half of the BS-IV deployment, the vehicle performance was far, far superior than what was in the industry", I would hand over the call to Mr,
15, We will get to see the benefits of modularity when the volumes start to chug-in, Mahadevan,
16," So, I think there's a lot of benefits that we'll see aggregating but we'll have to also wait for the volumes to scale up"," Over to you, sir",
17," So, we hopefully will see that things stabilize as we move forward", I will just keep my comments very brief but try to be as pertinent as possible,
18," So, we are seeing a lot of traction on the ground"," I think most of you have also attended the Investor Meet that we had just about 10 days ago, on Switch where we discussed about the plans that we have for the electric vehicles",
19," And if we see August month also growing I think July has been good, August if it starts to grow and if we kind of skirt the third wave"," But still things have to kind of get to the, I would say pre-COVID days",
